2017-09-06 02:17:55,706 [DEBUG] freemarker.cache  - Couldn't find template in cache for "index.ftl"("en", UTF-8, parsed); will try to load it.
2017-09-06 02:17:55,708 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("index_en.ftl"): Not found
2017-09-06 02:17:55,709 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("index.ftl"): Found
2017-09-06 02:17:55,709 [DEBUG] freemarker.cache  - Loading template for "index.ftl"("en", UTF-8, parsed) from "jar:file:/Users/earl.willis/Downloads/extentreports-java-3.0.6/extentreports-3.0.6.jar!/com/aventstack/extentreports/view/html-report/index.ftl"
2017-09-06 02:17:55,894 [DEBUG] freemarker.cache  - Couldn't find template in cache for "head.ftl"("en", UTF-8, parsed); will try to load it.
2017-09-06 02:17:55,895 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("head_en.ftl"): Not found
2017-09-06 02:17:55,895 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("head.ftl"): Found
2017-09-06 02:17:55,895 [DEBUG] freemarker.cache  - Loading template for "head.ftl"("en", UTF-8, parsed) from "jar:file:/Users/earl.willis/Downloads/extentreports-java-3.0.6/extentreports-3.0.6.jar!/com/aventstack/extentreports/view/html-report/head.ftl"
2017-09-06 02:17:55,898 [DEBUG] freemarker.cache  - Couldn't find template in cache for "nav.ftl"("en", UTF-8, parsed); will try to load it.
2017-09-06 02:17:55,900 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("nav_en.ftl"): Not found
2017-09-06 02:17:55,900 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("nav.ftl"): Found
2017-09-06 02:17:55,900 [DEBUG] freemarker.cache  - Loading template for "nav.ftl"("en", UTF-8, parsed) from "jar:file:/Users/earl.willis/Downloads/extentreports-java-3.0.6/extentreports-3.0.6.jar!/com/aventstack/extentreports/view/html-report/nav.ftl"
2017-09-06 02:17:55,907 [DEBUG] freemarker.cache  - Couldn't find template in cache for "test-view/test-view.ftl"("en", UTF-8, parsed); will try to load it.
2017-09-06 02:17:55,907 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("test-view/test-view_en.ftl"): Not found
2017-09-06 02:17:55,907 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("test-view/test-view.ftl"): Found
